cnv_feature,f_score,p_value
cnv_depth__IBNLCO_03287__IBNLCO_03287__gene__promoter,81.75595542752231,8.377735569429571e-17
cnv_depth__IBNLCO_03125__IBNLCO_03125__gene__promoter,81.75457251801882,8.382004771662279e-17
cnv_depth__IBNLCO_03204__Large__CDS,81.68613518592218,8.596045343865578e-17
cnv_depth__IBNLCO_03148__mlaD__gene,81.44928079084944,9.380334046715513e-17
cnv_depth__IBNLCO_00235__response__CDS__promoter,81.43586768350404,9.426850741942392e-17
cnv_depth__IBNLCO_03199__IBNLCO_03199__gene,81.41428028831237,9.502205351337443e-17
cnv_depth__IBNLCO_03478__3-oxoadipate__CDS__promoter,81.3978218612525,9.560064653858766e-17
cnv_depth__IBNLCO_03132__IBNLCO_03132__gene,81.28252329649855,9.975492018394269e-17
cnv_depth__IBNLCO_00283__IBNLCO_00283__gene__promoter,81.1191395445801,1.0595582775104007e-16
cnv_depth__IBNLCO_03047__Anthranilate__CDS,81.08246635361316,1.0740033308087754e-16
cnv_depth__IBNLCO_00430__IBNLCO_00430__gene__promoter,80.87133080538898,1.1611200954717548e-16
cnv_depth__IBNLCO_03244__paaC__gene,80.69172299878751,1.2408245755921416e-16
cnv_depth__IBNLCO_03180__msrP__gene,80.5657487675608,1.3000029858960435e-16
cnv_depth__IBNLCO_00011__Type__CDS__promoter,80.49658541902733,1.3336968697383029e-16
cnv_depth__IBNLCO_03137__Imidazoleglycerol-phosphate__CDS__promoter,80.47401512512108,1.3448819984917258e-16
cnv_depth__IBNLCO_03149__Intermembrane__CDS,80.31031307229149,1.428892829014384e-16
cnv_depth__IBNLCO_00981__HTH__CDS__promoter,80.27467983124947,1.4478706718972744e-16
cnv_depth__IBNLCO_00245__IBNLCO_00245__gene__promoter,80.24124859978399,1.465907044343406e-16
cnv_depth__IBNLCO_02137__IBNLCO_02137__gene,80.18774847094431,1.4952438574792996e-16
cnv_depth__IBNLCO_03688__Glycine__CDS__promoter,80.14214818113977,1.5207162477477324e-16
cnv_depth__IBNLCO_03432__IBNLCO_03432__gene__promoter,80.12745191316107,1.5290185889054113e-16
cnv_depth__IBNLCO_01359__Glycogen__CDS,80.0488329450258,1.574216093055151e-16
cnv_depth__IBNLCO_03275__BON__CDS,80.04453241784167,1.5767269860103293e-16
cnv_depth__IBNLCO_03324__fliT__gene__promoter,80.03438921893608,1.5826651877740795e-16
cnv_depth__IBNLCO_00275__flgJ__gene__promoter,79.99985267506236,1.6030539694693209e-16
cnv_depth__IBNLCO_01526__nodT__gene,79.89920176332554,1.663998789819992e-16
cnv_depth__IBNLCO_00176__mrdB__gene,79.72361147640804,1.7759747915658806e-16
cnv_depth__IBNLCO_03595__IBNLCO_03595__gene,79.67647640715175,1.807308080044828e-16
cnv_depth__unknown__unknown__regulatory.5,79.64627003332646,1.827680734972428e-16
cnv_depth__IBNLCO_01649__IBNLCO_01649__gene,79.60800796610907,1.8538197049321226e-16
